Index,Country,Medal Colour,Total
0,NOR,Gold,16
1,NOR,Silver,8
2,NOR,Bronze,13
3,ROC,Gold,6
4,ROC,Silver,12
5,ROC,Bronze,14
6,GER,Gold,12
7,GER,Silver,10
8,GER,Bronze,5
9,CAN,Gold,4
10,CAN,Silver,8
11,CAN,Bronze,14
12,USA,Gold,8
13,USA,Silver,10
14,USA,Bronze,7
15,SWE,Gold,8
16,SWE,Silver,5
17,SWE,Bronze,5
18,AUT,Gold,7
19,AUT,Silver,7
20,AUT,Bronze,4
21,JPN,Gold,3
22,JPN,Silver,6
23,JPN,Bronze,9
24,NED,Gold,8
25,NED,Silver,5
26,NED,Bronze,4
27,ITA,Gold,2
28,ITA,Silver,7
29,ITA,Bronze,8
30,CHN,Gold,9
31,CHN,Silver,4
32,CHN,Bronze,2
33,SUI,Gold,7
34,SUI,Silver,2
35,SUI,Bronze,5
36,FRA,Gold,5
37,FRA,Silver,7
38,FRA,Bronze,2
39,KOR,Gold,2
40,KOR,Silver,5
41,KOR,Bronze,2
42,FIN,Gold,2
43,FIN,Silver,2
44,FIN,Bronze,4
45,SLO,Gold,2
46,SLO,Silver,3
47,SLO,Bronze,2
48,AUS,Gold,1
49,AUS,Silver,2
50,AUS,Bronze,1
51,NZL,Gold,2
52,NZL,Silver,1
53,NZL,Bronze,0
54,HUN,Gold,1
55,HUN,Silver,0
56,HUN,Bronze,2
57,GBR,Gold,1
58,GBR,Silver,1
59,GBR,Bronze,0
60,SVK,Gold,1
61,SVK,Silver,0
62,SVK,Bronze,1
63,CZE,Gold,1
64,CZE,Silver,0
65,CZE,Bronze,1
66,BEL,Gold,1
67,BEL,Silver,0
68,BEL,Bronze,1
69,BLR,Gold,0
70,BLR,Silver,2
71,BLR,Bronze,0
72,UKR,Gold,0
73,UKR,Silver,1
74,UKR,Bronze,0
75,ESP,Gold,0
76,ESP,Silver,1
77,ESP,Bronze,0
78,POL,Gold,0
79,POL,Silver,0
80,POL,Bronze,1
81,LAT,Gold,0
82,LAT,Silver,0
83,LAT,Bronze,1
84,EST,Gold,0
85,EST,Silver,0
86,EST,Bronze,1
